Date,Open,High,Low,Close,Volume
31-08-1995,1.3894,1.3932,1.3769,1.3769,24503772
01-09-1995,1.3769,1.3932,1.373,1.3741,27436742
05-09-1995,1.3932,1.3932,1.3689,1.3932,50191358
06-09-1995,1.405,1.4136,1.3932,1.4012,55988559
07-09-1995,1.4085,1.4509,1.4012,1.4327,73158384
08-09-1995,1.4327,1.4366,1.4243,1.4327,48742064
11-09-1995,1.4366,1.4572,1.4162,1.4162,48104879
12-09-1995,1.4243,1.4366,1.3638,1.3741,90987262
13-09-1995,1.373,1.3894,1.3447,1.3575,90009608
14-09-1995,1.3255,1.332,1.273,1.2808,153541409
15-09-1995,1.1974,1.2768,1.1371,1.1487,337996000
18-09-1995,1.1655,1.1795,1.1487,1.1744,173322466
19-09-1995,1.1768,1.1884,1.1563,1.1768,136658945
20-09-1995,1.1921,1.1974,1.1679,1.1718,89747228
21-09-1995,1.1679,1.2013,1.1655,1.1845,96865677
22-09-1995,1.1808,1.1921,1.1655,1.1871,111174393
25-09-1995,1.2241,1.2241,1.1974,1.2013,87907514
26-09-1995,1.2089,1.2128,1.1884,1.1974,69972420
27-09-1995,1.2013,1.2013,1.1128,1.1601,125842293
28-09-1995,1.1679,1.2128,1.1679,1.2089,92361607
29-09-1995,1.2167,1.2241,1.1808,1.1921,79039918
02-10-1995,1.2089,1.2321,1.2013,1.2037,109322159
03-10-1995,1.2204,1.2321,1.1884,1.2037,80826541
04-10-1995,1.1718,1.1845,1.1526,1.1655,74398411
05-10-1995,1.1601,1.1718,1.1487,1.1679,68067111
06-10-1995,1.1768,1.1845,1.1399,1.1424,86186460
09-10-1995,1.1331,1.1449,1.1014,1.1153,103902904
10-10-1995,1.1014,1.1206,1.0757,1.1103,111627308
11-10-1995,1.1283,1.1399,1.0924,1.1167,92833262
12-10-1995,1.1206,1.1331,1.1128,1.1307,45193781
13-10-1995,1.1449,1.1808,1.1371,1.1526,65590173
16-10-1995,1.1601,1.1845,1.1487,1.1563,50775461
17-10-1995,1.1679,1.1808,1.1487,1.1718,49813419
18-10-1995,1.1845,1.2665,1.1768,1.1974,142899676
